lncRNA名称 adipose adrenal brain brain_R breast colon foreskin_R heart hela_R HLF_1_R HLF_2_R kidney liver liver_R lung lymphNode ovary placenta_R prostate skeltalMuscle testis testis_R thyroid leukocyte
NONHSAT007664.2 0.000227862 0.0 0.0 0.0 0.0 0.0 1.04553 0.0 1.60578 0.000402143 0.0 0.0 0.696245 0.150178 2.88358 0.0 0.0 1.02655 0.00282777 0.0 0.0 0.0 0.0 0.0
NONHSAT007667.2 0.0 2.89083 0.0518154 0.000632641 3.62721 0.323765 4.5338 0.0 1.27221 7.00337 2.67816 0.0 0.0 0.0 0.0 0.0 5.92059 0.0 1.39051 0.0 1.01962 0.0 0.375043 0.022148
NONHSAT007668.2 19.3971 28.196 3.81593 4.71355 20.4056 25.7661 2.24791 0.0 0.0 6.68835 0.0 5.48045 0.0 0.928818 0.0 0.0 73.3443 7.38623 0.20731 0.0 16.7541 0.504576 14.3325 0.832176
NONHSAT007669.2 0.0 0.565022 0.0722537 0.0 0.0 0.0 0.0 0.071352 1.98033 0.617263 1.10385 0.671336 0.000905865 0.000485228 0.45098 0.421548 0.313993 0.0 0.328288 0.0 0.0 0.0 0.0 0.0
NONHSAT007670.2 0.514033 1.52425 0.618638 0.958299 0.32483 2.54533 2.2213 0.191224 2.45415 6.24382 8.11883 0.571359 0.183219 0.0 0.855466 2.33756 3.68977 0.0 4.68105 0.251106 1.37536 0.0 0.0423915 4.74526
NONHSAT007671.2 1.10095 0.764078 1.21475 0.333655 0.682576 0.0 1.53822 0.0 1.33564 5.10002 0.0 1.77685 0.0 0.0 2.34302 6.47787 1.92453 0.291368 4.98182 0.0 0.410586 0.346216 0.191629 0.0
NONHSAT007672.2 0.459034 0.884263 0.0 0.0 0.26553 0.297655 0.0 0.0 0.0 2.3937 8.23152 0.0 0.301 0.0 0.0 0.0 1.57652 0.0 0.0 0.0 0.874384 0.0 1.28819 0.0
NONHSAT007673.2 0.0 0.411649 0.261689 0.0 0.420471 0.0945099 1.52172 0.000128431 4.2266 0.221802 0.0 0.122073 1.05551 0.0 1.0387 0.0 0.436079 0.629667 0.137368 0.0 0.211853 0.735529 0.390488 0.0
NONHSAT007680.2 2.65974 5.65498 4.12754 2.13854 3.65054 4.74616 4.55454 0.553138 3.08272 8.43321 6.48476 4.66973 0.361488 1.49465 5.71956 8.82026 6.37197 0.804777 2.80351 1.6054 1.83896 0.60211 1.90496 3.83484
NONHSAT007681.2 2.14612 3.86393 0.0 0.144261 2.26512 2.40096 0.0310434 0.0 0.0 1.58628 0.0 0.54501 0.0 0.0 0.0 0.0 6.39878 0.0 0.152715 1.37168 0.0 0.0301029 4.1689 0.0
